epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3568.66,1.48745,2.62049,2.01055,0.30821,0.14092,0.1055,0.04534,1.75262,2.74077,2.28453,0.000475523,0.000475523,0.000475523
2,6142.75,1.40048,1.97685,1.91533,0.25528,0.08381,0.06274,0.0289,1.7733,2.21932,2.33883,0.000763389,0.000763389,0.000763389
3,10220,1.36653,1.7733,1.89024,0.2852,0.07992,0.06655,0.03618,1.61483,1.92364,2.15091,0.000862627,0.000862627,0.000862627
4,23604.7,1.30284,1.60954,1.82872,0.29454,0.06144,0.05518,0.03114,1.56681,1.71068,2.0892,0.000580174,0.000580174,0.000580174
5,102256,1.25775,1.50617,1.79061,0.35939,0.0516,0.04853,0.02966,1.49196,1.63214,2.01399,0.000297232,0.000297232,0.000297232
